Topic,Issues
1,"['HADOOP-17800', 'HADOOP-16604', 'HADOOP-16144', 'HADOOP-15977', 'HADOOP-14705', 'HADOOP-14033', 'HADOOP-12909', 'HADOOP-12412', 'HADOOP-11683', 'HADOOP-11336', 'HADOOP-10856', 'HADOOP-10768', 'HADOOP-10150', 'HADOOP-9984', 'HADOOP-9836', 'HADOOP-9834', 'HADOOP-9826', 'HADOOP-9809', 'HADOOP-9808', 'HADOOP-9798', 'HADOOP-9515', 'HADOOP-9466', 'HADOOP-9392', 'HADOOP-8779', 'HADOOP-8598', 'HADOOP-8215', 'HADOOP-7992', 'HADOOP-7967', 'HADOOP-7773', 'HADOOP-7380', 'HADOOP-7257', 'HADOOP-6713', 'HADOOP-6584', 'HADOOP-6510', 'HADOOP-6419', 'HADOOP-4656', 'HADOOP-2886', 'HADOOP-2188', 'HADOOP-2184', 'HADOOP-2183', 'HADOOP-2182', 'HADOOP-257', 'HADOOP-15980', 'HADOOP-17313', 'HADOOP-17912', 'HADOOP-17236', 'HADOOP-17159', 'HADOOP-17074', 'HADOOP-16939', 'HADOOP-16540', 'HADOOP-16165', 'HADOOP-16141', 'HADOOP-16131', 'HADOOP-16120', 'HADOOP-16095', 'HADOOP-15986', 'HADOOP-15982', 'HADOOP-15981', 'HADOOP-15976', 'HADOOP-15950', 'HADOOP-15891', 'HADOOP-15811', 'HADOOP-15705', 'HADOOP-15602', 'HADOOP-15440', 'HADOOP-15222', 'HADOOP-14811', 'HADOOP-14465', 'HADOOP-14171', 'HADOOP-14112', 'HADOOP-14031', 'HADOOP-13885', 'HADOOP-10594', 'HADOOP-13537', 'HADOOP-13465', 'HADOOP-13425', 'HADOOP-13415', 'HADOOP-13263', 'HADOOP-13226', 'HADOOP-13071', 'HADOOP-12889', 'HADOOP-12876', 'HADOOP-12782', 'HADOOP-12645', 'HADOOP-12203', 'HADOOP-12047', 'HADOOP-11769', 'HADOOP-11646', 'HADOOP-11620', 'HADOOP-11557', 'HADOOP-11550', 'HADOOP-11339', 'HADOOP-11018', 'HADOOP-11017', 'HADOOP-10982', 'HADOOP-10881', 'HADOOP-10761', 'HADOOP-10709', 'HADOOP-10703', 'HADOOP-10640', 'HADOOP-10599', 'HADOOP-10598', 'HADOOP-10593', 'HADOOP-10520', 'HADOOP-10502', 'HADOOP-10427', 'HADOOP-10233', 'HADOOP-10307', 'HADOOP-10303', 'HADOOP-10300', 'HADOOP-10154', 'HADOOP-10152', 'HADOOP-10151', 'HADOOP-9975', 'HADOOP-9839', 'HADOOP-9837', 'HADOOP-9835', 'HADOOP-9827', 'HADOOP-9815', 'HADOOP-9814', 'HADOOP-9813', 'HADOOP-9812', 'HADOOP-9811', 'HADOOP-9810', 'HADOOP-9804', 'HADOOP-9789', 'HADOOP-9778', 'HADOOP-9716', 'HADOOP-9479', 'HADOOP-9451', 'HADOOP-9296', 'HADOOP-9229', 'HADOOP-9150', 'HADOOP-9134', 'HADOOP-9034', 'HADOOP-8943', 'HADOOP-8518', 'HADOOP-8465', 'HADOOP-8232', 'HADOOP-8205', 'HADOOP-7862', 'HADOOP-7524', 'HADOOP-7509', 'HADOOP-7044', 'HADOOP-6982', 'HADOOP-6959', 'HADOOP-6944', 'HADOOP-6864', 'HADOOP-6818', 'HADOOP-6809', 'HADOOP-6581', 'HADOOP-6543', 'HADOOP-6231', 'HADOOP-3854', 'HADOOP-3721', 'HADOOP-3487', 'HADOOP-2975', 'HADOOP-2919', 'HADOOP-2301', 'HADOOP-1841', 'HADOOP-1450', 'HADOOP-1214', 'HADOOP-677', 'HADOOP-17116', 'HADOOP-17275', 'HADOOP-18101', 'HADOOP-18110', 'HADOOP-18316', 'HADOOP-18218', 'HADOOP-18444']"
2,"['HADOOP-17268', 'HADOOP-16118', 'HADOOP-15616', 'HADOOP-14536', 'HADOOP-14516', 'HADOOP-14035', 'HADOOP-13975', 'HADOOP-13912', 'HADOOP-13403', 'HADOOP-13128', 'HADOOP-12781', 'HADOOP-10684', 'HADOOP-10400', 'HADOOP-10281', 'HADOOP-9640', 'HADOOP-9562', 'HADOOP-8163', 'HADOOP-7961', 'HADOOP-6952', 'HADOOP-6907', 'HADOOP-6832', 'HADOOP-6369', 'HADOOP-6183', 'HADOOP-6148', 'HADOOP-5441', 'HADOOP-5303', 'HADOOP-4768', 'HADOOP-4539', 'HADOOP-4490', 'HADOOP-4359', 'HADOOP-3930', 'HADOOP-3746', 'HADOOP-3581', 'HADOOP-3445', 'HADOOP-3421', 'HADOOP-3245', 'HADOOP-2910', 'HADOOP-2864', 'HADOOP-2585', 'HADOOP-1298', 'HADOOP-1003', 'HADOOP-785', 'HADOOP-702', 'HADOOP-432', 'HADOOP-306', 'HADOOP-233', 'HADOOP-227', 'HADOOP-18445', 'HADOOP-17866', 'HADOOP-17421', 'HADOOP-17358', 'HADOOP-17165', 'HADOOP-16484', 'HADOOP-16136', 'HADOOP-15563', 'HADOOP-15562', 'HADOOP-14899', 'HADOOP-14565', 'HADOOP-14442', 'HADOOP-14193', 'HADOOP-13974', 'HADOOP-13969', 'HADOOP-13967', 'HADOOP-13860', 'HADOOP-13771', 'HADOOP-13673', 'HADOOP-12922', 'HADOOP-12964', 'HADOOP-12678', 'HADOOP-12569', 'HADOOP-12390', 'HADOOP-12331', 'HADOOP-10809', 'HADOOP-10399', 'HADOOP-10282', 'HADOOP-10279', 'HADOOP-10182', 'HADOOP-10050', 'HADOOP-9939', 'HADOOP-9933', 'HADOOP-9884', 'HADOOP-9454', 'HADOOP-9165', 'HADOOP-9091', 'HADOOP-8770', 'HADOOP-8461', 'HADOOP-8077', 'HADOOP-8096', 'HADOOP-7938', 'HADOOP-7822', 'HADOOP-7157', 'HADOOP-7012', 'HADOOP-6951', 'HADOOP-6915', 'HADOOP-6589', 'HADOOP-6592', 'HADOOP-6573', 'HADOOP-6337', 'HADOOP-6253', 'HADOOP-6163', 'HADOOP-5975', 'HADOOP-5772', 'HADOOP-5708', 'HADOOP-5485', 'HADOOP-5419', 'HADOOP-5396', 'HADOOP-4993', 'HADOOP-4789', 'HADOOP-4782', 'HADOOP-4728', 'HADOOP-4664', 'HADOOP-4523', 'HADOOP-4513', 'HADOOP-4471', 'HADOOP-4451', 'HADOOP-4433', 'HADOOP-4413', 'HADOOP-4391', 'HADOOP-4124', 'HADOOP-4116', 'HADOOP-4038', 'HADOOP-4018', 'HADOOP-3867', 'HADOOP-3808', 'HADOOP-3698', 'HADOOP-3631', 'HADOOP-3577', 'HADOOP-3376', 'HADOOP-3153', 'HADOOP-3088', 'HADOOP-2909', 'HADOOP-2897', 'HADOOP-2850', 'HADOOP-2849', 'HADOOP-2614', 'HADOOP-2514', 'HADOOP-2487', 'HADOOP-2220', 'HADOOP-2162', 'HADOOP-2123', 'HADOOP-1867', 'HADOOP-1830', 'HADOOP-1597', 'HADOOP-1484', 'HADOOP-1301', 'HADOOP-1286', 'HADOOP-1252', 'HADOOP-1201', 'HADOOP-1121', 'HADOOP-1076', 'HADOOP-719', 'HADOOP-654', 'HADOOP-578', 'HADOOP-556', 'HADOOP-540', 'HADOOP-531', 'HADOOP-465', 'HADOOP-428', 'HADOOP-407', 'HADOOP-332', 'HADOOP-334', 'HADOOP-312', 'HADOOP-270', 'HADOOP-89', 'HADOOP-142', 'HADOOP-94', 'HADOOP-106', 'HADOOP-12077', 'HADOOP-17015', 'HADOOP-17338', 'HADOOP-18012', 'HADOOP-18396', 'HADOOP-18534', 'HADOOP-18640']"
3,"['HADOOP-7606', 'HADOOP-17124', 'HADOOP-16873', 'HADOOP-16460', 'HADOOP-16358', 'HADOOP-16244', 'HADOOP-16076', 'HADOOP-14898', 'HADOOP-14284', 'HADOOP-13578', 'HADOOP-11887', 'HADOOP-11542', 'HADOOP-11540', 'HADOOP-10075', 'HADOOP-9996', 'HADOOP-9976', 'HADOOP-9605', 'HADOOP-9334', 'HADOOP-8887', 'HADOOP-8687', 'HADOOP-8266', 'HADOOP-8211', 'HADOOP-7990', 'HADOOP-7920', 'HADOOP-7646', 'HADOOP-7595', 'HADOOP-7206', 'HADOOP-6837', 'HADOOP-6349', 'HADOOP-6170', 'HADOOP-6120', 'HADOOP-4838', 'HADOOP-3315', 'HADOOP-2664', 'HADOOP-2645', 'HADOOP-2185', 'HADOOP-851', 'HADOOP-16579', 'HADOOP-18069', 'HADOOP-18095', 'HADOOP-18561', 'HADOOP-16803', 'HADOOP-13916', 'HADOOP-17972', 'HADOOP-17940', 'HADOOP-17924', 'HADOOP-17917', 'HADOOP-17898', 'HADOOP-17885', 'HADOOP-17831', 'HADOOP-17603', 'HADOOP-17602', 'HADOOP-17601', 'HADOOP-17441', 'HADOOP-17344', 'HADOOP-17316', 'HADOOP-17225', 'HADOOP-17220', 'HADOOP-16883', 'HADOOP-16871', 'HADOOP-16675', 'HADOOP-16619', 'HADOOP-16487', 'HADOOP-16451', 'HADOOP-16034', 'HADOOP-15994', 'HADOOP-15965', 'HADOOP-15816', 'HADOOP-15504', 'HADOOP-14963', 'HADOOP-14100', 'HADOOP-12767', 'HADOOP-12933', 'HADOOP-12932', 'HADOOP-12635', 'HADOOP-12156', 'HADOOP-9848', 'HADOOP-9763', 'HADOOP-9332', 'HADOOP-9331', 'HADOOP-7857', 'HADOOP-7323', 'HADOOP-6552', 'HADOOP-4321', 'HADOOP-3948', 'HADOOP-2608', 'HADOOP-2062', 'HADOOP-17590', 'HADOOP-18079', 'HADOOP-17886', 'HADOOP-17860', 'HADOOP-18148', 'HADOOP-18178', 'HADOOP-18197', 'HADOOP-18130', 'HADOOP-18212', 'HADOOP-18323', 'HADOOP-18311', 'HADOOP-18344', 'HADOOP-18443', 'HADOOP-18538', 'HADOOP-18459', 'HADOOP-18493', 'HADOOP-18497', 'HADOOP-18578', 'HADOOP-18529', 'HADOOP-18622', 'HADOOP-18655']"
4,"['HADOOP-17947', 'HADOOP-17108', 'HADOOP-17098', 'HADOOP-16950', 'HADOOP-16816', 'HADOOP-16747', 'HADOOP-16698', 'HADOOP-16486', 'HADOOP-16456', 'HADOOP-16064', 'HADOOP-15979', 'HADOOP-15978', 'HADOOP-15952', 'HADOOP-15558', 'HADOOP-15356', 'HADOOP-15338', 'HADOOP-15231', 'HADOOP-15006', 'HADOOP-14888', 'HADOOP-14808', 'HADOOP-14710', 'HADOOP-14579', 'HADOOP-14444', 'HADOOP-14182', 'HADOOP-13945', 'HADOOP-13944', 'HADOOP-13887', 'HADOOP-13863', 'HADOOP-13836', 'HADOOP-13615', 'HADOOP-13597', 'HADOOP-13570', 'HADOOP-13447', 'HADOOP-13277', 'HADOOP-13075', 'HADOOP-13037', 'HADOOP-13015', 'HADOOP-13013', 'HADOOP-12847', 'HADOOP-12758', 'HADOOP-12719', 'HADOOP-12691', 'HADOOP-12563', 'HADOOP-12531', 'HADOOP-12082', 'HADOOP-11766', 'HADOOP-11747', 'HADOOP-11744', 'HADOOP-11671', 'HADOOP-11470', 'HADOOP-11090', 'HADOOP-10959', 'HADOOP-10771', 'HADOOP-10769', 'HADOOP-10693', 'HADOOP-10671', 'HADOOP-10667', 'HADOOP-10641', 'HADOOP-10607', 'HADOOP-10529', 'HADOOP-10528', 'HADOOP-10444', 'HADOOP-10433', 'HADOOP-10420', 'HADOOP-10373', 'HADOOP-10335', 'HADOOP-10278', 'HADOOP-10177', 'HADOOP-10022', 'HADOOP-9902', 'HADOOP-9797', 'HADOOP-9760', 'HADOOP-9734', 'HADOOP-9709', 'HADOOP-9659', 'HADOOP-9653', 'HADOOP-9649', 'HADOOP-9550', 'HADOOP-9533', 'HADOOP-9484', 'HADOOP-9421', 'HADOOP-9446', 'HADOOP-9333', 'HADOOP-9194', 'HADOOP-9160', 'HADOOP-9082', 'HADOOP-8930', 'HADOOP-8922', 'HADOOP-8886', 'HADOOP-8885', 'HADOOP-8805', 'HADOOP-8803', 'HADOOP-8758', 'HADOOP-8562', 'HADOOP-8545', 'HADOOP-8462', 'HADOOP-8165', 'HADOOP-8079', 'HADOOP-7594', 'HADOOP-7560', 'HADOOP-7470', 'HADOOP-7417', 'HADOOP-7109', 'HADOOP-7144', 'HADOOP-7119', 'HADOOP-7069', 'HADOOP-6999', 'HADOOP-6994', 'HADOOP-6978', 'HADOOP-6945', 'HADOOP-6807', 'HADOOP-6798', 'HADOOP-6704', 'HADOOP-6671', 'HADOOP-6659', 'HADOOP-6568', 'HADOOP-6547', 'HADOOP-6422', 'HADOOP-6330', 'HADOOP-6311', 'HADOOP-6299', 'HADOOP-6147', 'HADOOP-6105', 'HADOOP-5670', 'HADOOP-5518', 'HADOOP-5469', 'HADOOP-5366', 'HADOOP-4304', 'HADOOP-4284', 'HADOOP-4138', 'HADOOP-3754', 'HADOOP-3380', 'HADOOP-3111', 'HADOOP-3053', 'HADOOP-2878', 'HADOOP-2398', 'HADOOP-2345', 'HADOOP-2336', 'HADOOP-2325', 'HADOOP-2239', 'HADOOP-1963', 'HADOOP-1848', 'HADOOP-1743', 'HADOOP-1741', 'HADOOP-1822', 'HADOOP-1701', 'HADOOP-1290', 'HADOOP-1134', 'HADOOP-1053', 'HADOOP-941', 'HADOOP-574', 'HADOOP-538', 'HADOOP-516', 'HADOOP-234', 'HADOOP-65', 'HADOOP-4', 'HADOOP-11804', 'HADOOP-12911', 'HADOOP-13363', 'HADOOP-15327', 'HADOOP-15229', 'HADOOP-16314', 'HADOOP-17046', 'HADOOP-17177', 'HADOOP-18073', 'HADOOP-18154', 'HADOOP-18287', 'HADOOP-5331', 'HADOOP-9414', 'HADOOP-9074', 'HADOOP-10844', 'HADOOP-17930', 'HADOOP-17929', 'HADOOP-17814', 'HADOOP-17381', 'HADOOP-17284', 'HADOOP-17247', 'HADOOP-17211', 'HADOOP-17005', 'HADOOP-16526', 'HADOOP-16434', 'HADOOP-16396', 'HADOOP-15956', 'HADOOP-16125', 'HADOOP-16119', 'HADOOP-16068', 'HADOOP-15525', 'HADOOP-15501', 'HADOOP-13581', 'HADOOP-15075', 'HADOOP-14901', 'HADOOP-14802', 'HADOOP-14741', 'HADOOP-14437', 'HADOOP-14409', 'HADOOP-14398', 'HADOOP-14394', 'HADOOP-14383', 'HADOOP-14091', 'HADOOP-13924', 'HADOOP-13827', 'HADOOP-13642', 'HADOOP-13633', 'HADOOP-13525', 'HADOOP-13446', 'HADOOP-13378', 'HADOOP-13227', 'HADOOP-13008', 'HADOOP-12945', 'HADOOP-12846', 'HADOOP-12804', 'HADOOP-12507', 'HADOOP-12499', 'HADOOP-12405', 'HADOOP-12311', 'HADOOP-12211', 'HADOOP-12210', 'HADOOP-12205', 'HADOOP-12180', 'HADOOP-12161', 'HADOOP-12039', 'HADOOP-11825', 'HADOOP-11817', 'HADOOP-11726', 'HADOOP-11676', 'HADOOP-11569', 'HADOOP-11527', 'HADOOP-11518', 'HADOOP-11485', 'HADOOP-11460', 'HADOOP-11416', 'HADOOP-11385', 'HADOOP-11338', 'HADOOP-11335', 'HADOOP-11195', 'HADOOP-11074', 'HADOOP-11038', 'HADOOP-11031', 'HADOOP-10905', 'HADOOP-10901', 'HADOOP-10878', 'HADOOP-10860', 'HADOOP-10845', 'HADOOP-10832', 'HADOOP-10822', 'HADOOP-10791', 'HADOOP-10779', 'HADOOP-10745', 'HADOOP-10720', 'HADOOP-10643', 'HADOOP-10604', 'HADOOP-10601', 'HADOOP-10566', 'HADOOP-10534', 'HADOOP-10514', 'HADOOP-10469', 'HADOOP-10201', 'HADOOP-10184', 'HADOOP-10156', 'HADOOP-10149', 'HADOOP-10108', 'HADOOP-10016', 'HADOOP-10014', 'HADOOP-9988', 'HADOOP-9987', 'HADOOP-9986', 'HADOOP-9985', 'HADOOP-7466', 'HADOOP-9952', 'HADOOP-9949', 'HADOOP-9947', 'HADOOP-9926', 'HADOOP-9841', 'HADOOP-9829', 'HADOOP-9828', 'HADOOP-9825', 'HADOOP-9799', 'HADOOP-9796', 'HADOOP-9710', 'HADOOP-9706', 'HADOOP-9535', 'HADOOP-9497', 'HADOOP-9486', 'HADOOP-9477', 'HADOOP-9413', 'HADOOP-9054', 'HADOOP-9015', 'HADOOP-8908', 'HADOOP-8828', 'HADOOP-8748', 'HADOOP-8574', 'HADOOP-8572', 'HADOOP-8458', 'HADOOP-8308', 'HADOOP-8267', 'HADOOP-8206', 'HADOOP-8193', 'HADOOP-8101', 'HADOOP-8015', 'HADOOP-7977', 'HADOOP-7952', 'HADOOP-7905', 'HADOOP-7829', 'HADOOP-7601', 'HADOOP-7600', 'HADOOP-7599', 'HADOOP-7519', 'HADOOP-7454', 'HADOOP-7379', 'HADOOP-7279', 'HADOOP-7182', 'HADOOP-7179', 'HADOOP-7014', 'HADOOP-7001', 'HADOOP-6998', 'HADOOP-6980', 'HADOOP-6909', 'HADOOP-6894', 'HADOOP-6853', 'HADOOP-6840', 'HADOOP-6826', 'HADOOP-6741', 'HADOOP-6594', 'HADOOP-6580', 'HADOOP-6579', 'HADOOP-6446', 'HADOOP-6425', 'HADOOP-6367', 'HADOOP-6356', 'HADOOP-6302', 'HADOOP-6289', 'HADOOP-6204', 'HADOOP-6200', 'HADOOP-5721', 'HADOOP-5732', 'HADOOP-5726', 'HADOOP-5257', 'HADOOP-4851', 'HADOOP-4487', 'HADOOP-4205', 'HADOOP-4203', 'HADOOP-3969', 'HADOOP-3482', 'HADOOP-3444', 'HADOOP-3413', 'HADOOP-3261', 'HADOOP-3048', 'HADOOP-2902', 'HADOOP-2454', 'HADOOP-2410', 'HADOOP-1939', 'HADOOP-1782', 'HADOOP-1617', 'HADOOP-1508', 'HADOOP-1436', 'HADOOP-1095', 'HADOOP-727', 'HADOOP-726', 'HADOOP-505', 'HADOOP-321', 'HADOOP-256', 'HADOOP-13728', 'HADOOP-16209', 'HADOOP-16066', 'HADOOP-15862', 'HADOOP-16567', 'HADOOP-17152', 'HADOOP-17872', 'HADOOP-18454', 'HADOOP-18512', 'HADOOP-18527', 'HADOOP-18610', 'HADOOP-18634']"
5,"['HADOOP-17401', 'HADOOP-16916', 'HADOOP-15845', 'HADOOP-15810', 'HADOOP-15407', 'HADOOP-14660', 'HADOOP-14535', 'HADOOP-14216', 'HADOOP-13475', 'HADOOP-13451', 'HADOOP-13449', 'HADOOP-13345', 'HADOOP-13336', 'HADOOP-11574', 'HADOOP-10734', 'HADOOP-10448', 'HADOOP-9509', 'HADOOP-4434', 'HADOOP-3585', 'HADOOP-13786', 'HADOOP-16317', 'HADOOP-17411', 'HADOOP-17770', 'HADOOP-17191', 'HADOOP-17038', 'HADOOP-16948', 'HADOOP-16875', 'HADOOP-16807', 'HADOOP-16730', 'HADOOP-16426', 'HADOOP-15834', 'HADOOP-15753', 'HADOOP-15703', 'HADOOP-15669', 'HADOOP-15663', 'HADOOP-14810', 'HADOOP-14755', 'HADOOP-14736', 'HADOOP-14391', 'HADOOP-13972', 'HADOOP-13452', 'HADOOP-13450', 'HADOOP-13086', 'HADOOP-5215', 'HADOOP-11310', 'HADOOP-10430', 'HADOOP-9367', 'HADOOP-8784', 'HADOOP-7804', 'HADOOP-6567', 'HADOOP-3765', 'HADOOP-3764', 'HADOOP-3536', 'HADOOP-2632', 'HADOOP-2543', 'HADOOP-1532', 'HADOOP-883', 'HADOOP-15643', 'HADOOP-17643', 'HADOOP-18179', 'HADOOP-18132', 'HADOOP-18570', 'HADOOP-18516']"
6,"['HADOOP-12008', 'HADOOP-11694', 'HADOOP-10752', 'HADOOP-9590', 'HADOOP-9565', 'HADOOP-8683', 'HADOOP-8682', 'HADOOP-8681', 'HADOOP-8680', 'HADOOP-8679', 'HADOOP-8678', 'HADOOP-8677', 'HADOOP-8676', 'HADOOP-8675', 'HADOOP-8674', 'HADOOP-8673', 'HADOOP-8672', 'HADOOP-8671', 'HADOOP-8670', 'HADOOP-8669', 'HADOOP-7496', 'HADOOP-7238', 'HADOOP-7233', 'HADOOP-9416', 'HADOOP-14825', 'HADOOP-15763', 'HADOOP-15463', 'HADOOP-15323', 'HADOOP-12832', 'HADOOP-12387', 'HADOOP-11254', 'HADOOP-10591', 'HADOOP-10047', 'HADOOP-8040', 'HADOOP-6858', 'HADOOP-14603', 'HADOOP-18105']"
7,"['HADOOP-17292', 'HADOOP-17250', 'HADOOP-17125', 'HADOOP-16241', 'HADOOP-16185', 'HADOOP-15191', 'HADOOP-15038', 'HADOOP-15027', 'HADOOP-14999', 'HADOOP-14642', 'HADOOP-13560', 'HADOOP-13421', 'HADOOP-12756', 'HADOOP-12725', 'HADOOP-12620', 'HADOOP-12041', 'HADOOP-11828', 'HADOOP-11717', 'HADOOP-11644', 'HADOOP-11552', 'HADOOP-11183', 'HADOOP-10603', 'HADOOP-10388', 'HADOOP-9864', 'HADOOP-9671', 'HADOOP-9407', 'HADOOP-8800', 'HADOOP-8495', 'HADOOP-8468', 'HADOOP-8368', 'HADOOP-8198', 'HADOOP-7714', 'HADOOP-7657', 'HADOOP-7550', 'HADOOP-7421', 'HADOOP-6960', 'HADOOP-6520', 'HADOOP-6389', 'HADOOP-4196', 'HADOOP-3999', 'HADOOP-3719', 'HADOOP-3702', 'HADOOP-3412', 'HADOOP-3150', 'HADOOP-3136', 'HADOOP-3110', 'HADOOP-2206', 'HADOOP-1985', 'HADOOP-1707', 'HADOOP-1565', 'HADOOP-1470', 'HADOOP-1073', 'HADOOP-997', 'HADOOP-968', 'HADOOP-910', 'HADOOP-830', 'HADOOP-445', 'HADOOP-331', 'HADOOP-249', 'HADOOP-211', 'HADOOP-195', 'HADOOP-132', 'HADOOP-55', 'HADOOP-11867', 'HADOOP-14556', 'HADOOP-15566', 'HADOOP-16085', 'HADOOP-16522', 'HADOOP-16796', 'HADOOP-16828', 'HADOOP-17193', 'HADOOP-18055', 'HADOOP-18146', 'HADOOP-18458', 'HADOOP-18535', 'HADOOP-17367', 'HADOOP-17362', 'HADOOP-17050', 'HADOOP-17003', 'HADOOP-16403', 'HADOOP-16306', 'HADOOP-16242', 'HADOOP-16029', 'HADOOP-15919', 'HADOOP-15548', 'HADOOP-15235', 'HADOOP-15087', 'HADOOP-15001', 'HADOOP-14872', 'HADOOP-14845', 'HADOOP-14766', 'HADOOP-14561', 'HADOOP-14558', 'HADOOP-14098', 'HADOOP-14402', 'HADOOP-13903', 'HADOOP-13738', 'HADOOP-13654', 'HADOOP-13584', 'HADOOP-13169', 'HADOOP-13090', 'HADOOP-13057', 'HADOOP-13047', 'HADOOP-12882', 'HADOOP-12857', 'HADOOP-12283', 'HADOOP-12121', 'HADOOP-11829', 'HADOOP-11767', 'HADOOP-11188', 'HADOOP-11137', 'HADOOP-10776', 'HADOOP-10755', 'HADOOP-10688', 'HADOOP-10659', 'HADOOP-10565', 'HADOOP-10491', 'HADOOP-9956', 'HADOOP-9955', 'HADOOP-9781', 'HADOOP-9733', 'HADOOP-9688', 'HADOOP-9448', 'HADOOP-9307', 'HADOOP-9192', 'HADOOP-8817', 'HADOOP-8541', 'HADOOP-8325', 'HADOOP-8279', 'HADOOP-8217', 'HADOOP-8126', 'HADOOP-8091', 'HADOOP-8048', 'HADOOP-7777', 'HADOOP-7761', 'HADOOP-7754', 'HADOOP-7607', 'HADOOP-7460', 'HADOOP-7278', 'HADOOP-7133', 'HADOOP-7123', 'HADOOP-7030', 'HADOOP-6761', 'HADOOP-6711', 'HADOOP-6708', 'HADOOP-6474', 'HADOOP-6473', 'HADOOP-6313', 'HADOOP-6153', 'HADOOP-5945', 'HADOOP-5474', 'HADOOP-4930', 'HADOOP-4827', 'HADOOP-4733', 'HADOOP-4640', 'HADOOP-4618', 'HADOOP-4462', 'HADOOP-4459', 'HADOOP-4432', 'HADOOP-4397', 'HADOOP-4320', 'HADOOP-4183', 'HADOOP-4062', 'HADOOP-3840', 'HADOOP-3759', 'HADOOP-3751', 'HADOOP-3656', 'HADOOP-3425', 'HADOOP-3177', 'HADOOP-3144', 'HADOOP-3063', 'HADOOP-3019', 'HADOOP-2918', 'HADOOP-2853', 'HADOOP-2829', 'HADOOP-2501', 'HADOOP-2115', 'HADOOP-2244', 'HADOOP-2154', 'HADOOP-2131', 'HADOOP-2120', 'HADOOP-1989', 'HADOOP-1860', 'HADOOP-1857', 'HADOOP-1839', 'HADOOP-1719', 'HADOOP-1702', 'HADOOP-1652', 'HADOOP-1578', 'HADOOP-1399', 'HADOOP-1270', 'HADOOP-1127', 'HADOOP-1064', 'HADOOP-970', 'HADOOP-937', 'HADOOP-922', 'HADOOP-686', 'HADOOP-637', 'HADOOP-613', 'HADOOP-601', 'HADOOP-570', 'HADOOP-478', 'HADOOP-342', 'HADOOP-313', 'HADOOP-229', 'HADOOP-76', 'HADOOP-7', 'HADOOP-13055', 'HADOOP-15124', 'HADOOP-15245', 'HADOOP-16254', 'HADOOP-15944', 'HADOOP-15963', 'HADOOP-15964', 'HADOOP-16298', 'HADOOP-16876', 'HADOOP-16965', 'HADOOP-17649', 'HADOOP-17273', 'HADOOP-17077', 'HADOOP-18106', 'HADOOP-18296', 'HADOOP-18235', 'HADOOP-18237', 'HADOOP-18217', 'HADOOP-18391', 'HADOOP-18347', 'HADOOP-18533', 'HADOOP-18632']"
